Dr Rajan Madok , consultant in public medicine for South Tees Health Authority , praised the staff <head>for</head> their cooperation in the drive .	6(5)
And yet , despite it all , I felt peace stealing <head>into</head> my soul .	3(3)
Maybe , thousands of years ago , birds and reptiles from continental South America had reached the Galapagos , ferried <head>on</head> the rafts of vegetation that float down the rivers and out to sea .	2(1a)
Instead , he did another trick with the steering-wheel , making her lurch forward again as they turned off the road , between a pair of high wrought-iron gates , and headed up a tree-lined gravel driveway <head>towards</head> a fabulous , sprawling , red-roofed villa .	1(1)
You probably could n't say the same for Howard Kendall -- the Everton manager tried in vain to sign the big fellow <head>from</head> Luton earlier in the season .	4(3)
As he climbed up from the rowing-deck <head>onto</head> the poop , he tossed back the great plaid and turned a bleak gaze on his clansmen .	1(1)
Average proportions of minerals are cotectic ( 70% plagioclase and 30% olivine ) , but these proportions fluctuate substantially <head>from</head> layer to layer .	2(1a)
And now , on a clear morning , Graham Little and I are sitting at the bottom of the wall , fit and ready to go , and the wall is plastered <head>with</head> verglas .	5(3a)
He returned to his desk and checked the names <head>of</head> the fourteen banks .	6(3)
Modigliani , delighted <head>with</head> the atmosphere of warmth and sincerity , resumed his friendship with Soutine and Indenbaum .	9(7)
She does not mention the break-up of the marriages <head>of</head> Diana and Charles or Andrew and Fergie directly .	11(6)
He was propped up on one elbow , his dark hair sweat-curled , his eyes gleaming with desire , his naked chest and arms magnificent <head>in</head> their absolute masculinity .	6(4a)
I avoided the mob on the path by descending 200 feet sledging <head>on</head> my rucksack on a long snow bank .	15(7a)
The queen smiled and tweaked me gently <head>by</head> the cheek .	5(2)
All paradigms will be inadequate <head>to</head> some extent as far as their match with nature is concerned .	6(2a)
In their communique , the finance ministers could usefully point out that the current despair <head>over</head> eastern Germany is overdone .	16(7)
Richard was born in 1961 , when Olivier was 54 and already acclaimed <head>as</head> one of the world 's great actors .	1(1)
The British Foreign Office held that the prestige of the UN must be preserved and that it would be foolish <head>for</head> the United States to treat the UN as a rubber stamp for decisions already taken in Washington .	2(2)-1
Do not fling me <head>from</head> your house	1(1)
This is a noisy , rumbustious film that 's prone to burying itself in hails of gunshots and sheets <head>of</head> flame .	3(1b)
At the moment we are unable to predict <head>with</head> accuracy who will or will not abuse .	7(5)
Ca n't you wash her <head>in</head> the shower instead ?	1(1)
Harry trailed <head>along</head> behind Ockleton , bemused as he always was by beeswaxed pews and glittering plate in what experience had taught him was an irreligious world .	1(1)
In this extreme case , the tax would be paid by the producer or seller <head>of</head> whisky .	12(6a)
It expanded <head>from</head> 47,000 people in 1841 to 102,000 in 1901 and in 1860 nearly 150,000 people came to the town by excursion train in two successive days .	6(4)
It was a mixture of amusement and exasperation <head>with</head> her friend , with worry added .	9(7)
John took the empty cups down below and placed them quietly <head>in</head> the small sink .	2(1a)
Accounting texts are silent <head>on</head> this issue .	8(3)
But while AT may be lunging <head>into</head> the Nineties , the corporate giant has not altogether abandoned the fashions of the previous decade .	3(3)
He went on ahead while Willie staggered on <head>after</head> him .	5(2)
Squeezing her fist together she crumbled it <head>into</head> fine powdery dust .	6(6)
Activities for the self-appraisal consisted of individual reflection <head>on</head> practice , consultation with individual staff and departmental discussion .	8(3)
After a great while his footsteps lumbered <head>in</head> their direction .	6(4a)-1
` He 's just phoned <head>from</head> the car to say that as far as he could tell Harry had nothing to do with it .	4(3)
Care must be taken to ensure that the animals are dead prior <head>to</head> disposal and it should be noted that mice 1 -- 8 days old take longer to die than adults .	10(4a)
When a larger group came tramping in <head>behind</head> a piper , Cameron and Menzies recognized some stalwarts from Foss on Tummel .	3(2)
The charges arise from an incident last January during which an off duty police officer was allegedly hit <head>with</head> a hammer while he waited for a taxi in Cheltenham .	4(3)
He nodded politely to Wakelate and took the glass <head>of</head> brandy with a crooked little finger .	3(1b)-1
"The boy fears retaliation <head>from</head> his father , manifesting itself in the ` castration syndrome "" ."	12(9)-1
He said : ` Clearly we are very upset to hear <head>of</head> the death of a patient .	14(7)
He joked briefly <head>with</head> a woman in a lilac cardigan at a desk .	1(1)
Elinor read the cards from two identical large vases <head>of</head> lilies which took up all the space on the dressing table .	3(1b)-1
Neither my wins <head>in</head> the European Championships and European Cup nor my two British records had ever made the front page -- but the fact that I would n't run in a relay team had .	7(5)
He then shuffled <head>around</head> the room cupping his hand around the chimneys and blowing out one lamp after another .	3(2)
He burst into the apartment , woke Constance <head>from</head> her doze , and fell upon her , greedy and desperate to prove to himself that he was right and his friend was wrong .	10(7)-1
A quick glance <head>between</head> Rose and the girls was enough for them to know that it was better to make no mention of their elder brother .	1(1)
It was then that the four members of the Sex Pistols were taken , well-lubricated , from the hospitality suite of Thames Television to face interrogation <head>by</head> Bill Grundy on the popular teatime magazine programme , Today .	3(1b)
Over the top she had a jacket of the palest blue , and a brooch <head>of</head> seed pearls like a bunch of grapes .	17(8)
He was also formidable , demanding , difficult -- and smouldering <head>with</head> anger , but she still found it impossible to tear her gaze away .	11(7b)
Many of the Patrons of the Campaign were present , including the Duchess <head>of</head> Beaufort , Sir John Wills , Dr Bob Woodward and Dr Derek Zutshi .	6(3)
"He arched one foot <head>like</head> a cat 's back , and said , ` Aahh . """	2(1a)
"The interviewer only ` butted in "" when clarification was required on a specific topic or if the conversation wandered too far <head>off</head> the point ."	1(1)
Burn <head>of</head> Bannock to the sea .	6(3)
Peppermint -- aids digestion ; cooled teabags squeezed and rubbed <head>onto</head> skin make a good antiseptic tonic .	1(1)
Then more correspondence and a meeting with some of the people who report <head>to</head> him , to review matters , look at management accounts and discuss staff management .	8(3)
First she lifted the lid of a trunk plastered <head>with</head> the labels of railway companies .	5(3a)
In spite of complaints <head>by</head> leaders of trade unions many of their members bought up the shares .	3(1b)
I thought oh my God , my God , my God he 's gon na smell it <head>on</head> me .	7(2)
All the graves are in very bad condition -- weed-choked , and stripped <head>of</head> whatever marble and railings could be removed .	14(7)
This qualification has no significance <head>for</head> present purposes .	2(2)-1
Anna dashed <head>into</head> the field at once , desperate to reach the cottage before mummy stopped the car again and was able to hear .	3(3)
"I SHALL treasure my copy of Friday morning 's Times carrying the front-page headline ` Exit polls point to certainty <head>of</head> a hung parliament "" ."	9(5)
Well , do n't come screaming to me next time one of the local hippies pinches a load of your acid <head>off</head> you .	4(3)
Further studies were delaying <head>by</head> two years measures to save Lake Ichkeul in Tunisia , which was in danger of being reduced to a salty lagoon after the damming in the 1970s of the six rivers feeding it .	12(3)
One million people <head>from</head> the most crowded islands , Java and Bali , have been moved to the outer islands -- Sumatra , Borneo , and Sulawesi tween 1930 and 1979 .	4(3)
A rubber hose-pipe snaked <head>across</head> the yard from the kitchen window , bringing hot water from the tap in the big sink .	1(1)
This occupation ( at least with the Senones of the Adriatic coast and the Boii north of the Apennines ) was at first equivalent to an extermination <head>of</head> Celtic tribes .	12(6a)
She was as embarrassed as if he 'd admitted <head>to</head> some appallingly deviant behaviour , as horrified as she used to be when cowardly Max sent her to the door to deal with the Jehovah 's Witnesses .	14(6)
He crouched down <head>beside</head> her and put his hand lightly on her shoulder .	1(1)
She began to cry out , then sob <head>like</head> a child .	2(1a)
THE visit <head>of</head> Ireland 's new out-half Eric Elwood to Eaton Park tomorrow will be an added attraction when Ballymena take on Division One side Lansdowne .	11(6)
"She thought him a most responsible and sensitive young man and then reflected that for all his fooling around , it probably masked his unhappiness and disappointment <head>over</head> his ` father "" ."	16(7)
"I 'll take the English car and be done <head>with</head> it . """	9(7)
Bunny dropped the lighter into a china vase <head>in</head> the cocktail cabinet in the prop-room and burnt the letter on the fire .	1(1)
"` So you 'll be staying <head>in</head> the area , then ? """	1(1)
On 9 October , 1912 the Football League appointed a commission to inquire into alleged illegal payments <head>by</head> the club .	3(1b)
A glimpse in the mirror , or the well-meant comments <head>of</head> an old family friend , may remind us that we are growing to look like our parents .	6(3)
THE debate about how BBC Television covers the arts enters a new phase tonight when BBC2 launches a new show deliberately intended as a rival to The Late Show and its laid-back coterie <head>of</head> cultural commentators .	3(1b)
"` It berates me <head>for</head> the way I mistreated it last night . """	6(5)
Nor could she have said what made her so positive <head>about</head> this assumption that had become a fixture in her head -- unless it was the fact of Silas 's previous near engagement to Doreen .	1(1)
"` But so are you , "" I protested , really astonished because he had been so reasonable <head>about</head> my activities up to now ."	1(1)
Her father , a greengrocer , had stabled the pony <head>behind</head> the shop in the middle of town , fed it on sprouts and boiled potatoes and encouraged Nutty to turn it into a show-jumper .	1(1)
They breakfasted <head>on</head> hot black coffee , biscuits and chocolate , eating in a silence cut by polite requests and answers .	9(3a)
The Director of Swaziland 's Curriculum Research and Development Unit at Manzini must motor miles <head>to</head> Mbabane if he wants to see the Chief Education Officer .	1(1)
The tank blew up , hurling the Vauxhall <head>through</head> the closed garage doors , which caused twenty more gallons of petrol to explode , blowing the front off the house .	2(1a)
I closed the lid , snapping the locks , and stood the case <head>against</head> the wall .	10(4)
The basic propositions <head>of</head> monetarism stem from the revival of the quantity theory of money , in particular by Milton Friedman , as described in Chapter 21 .	12(6a)
"The UAs covered extra-judicial executions ( EJEs ) , death threats , torture and ` disappearances "" in Colombia , Peru , Brazil , India and the Philippines ; attacks on street-children in Guatemala ; and amputation sentences and crucifixion <head>in</head> Sudan ."	1(1)
Apple 's own effort does not bode well for the clutch <head>of</head> Macintosh-on-Unix houses like Echo Logic Inc , Xcelerated Systems Inc and Quorum Software Systems Inc .	3(1b)
The little man would trot around , mumbling contentedly , reenacting heroic skirmishes <head>with</head> rabid Orks in cramped subterranean Squattish strongholds .	6(4)
Josh tucked his arm companionably <head>through</head> hers .	12(5)-1
"For example , Suzuki and Kawamura advocate a number of formalised initiatives to ` support a healthy mental state "" , including excursions <head>in</head> a wheelchair , assessment of communication and encouraging visiting by family ."	1(1)
And our own early recipes for tomato soups thickened <head>with</head> rice or bread were derived from Portuguese rather than American , French or Italian cookery .	5(3a)
Membership of the PDS was reported to have declined <head>from</head> 2,400,000 in 1989 to 250,000 in May 1991 .	6(4)
The hotel manager woke me <head>at</head> 10 a.m. with a telegram from my mother , which had been delayed .	2(2)
Recognition of the importance of spacing for maternal and child health followed relatively soon the realization <head>of</head> the effects of maternal age and birth order .	12(6a)
It was not in the king 's interest to associate himself with a movement which at most would merely ensure the removal <head>from</head> power of one magnate clique and its replacement by another .	10(7)
` Bloody good , that 's brilliant <head>of</head> Rupert .	13(6b)
Platt , moved up front as Les Ferdinand 's minder , came close with a shot parried by Benedettini and Bruno Muccioli raced in to head over the bar as the ball appeared to be dropping <head>into</head> goal .	1(1)
The Annual Dinner <head>of</head> the Stoddard Golf Club was held in November at its traditional venue in the Elderslie Village Hall .	9(5)
A sniff <head>of</head> tea , a whiff of biscuits , and there would soon be a crowd .	12(6a)
The inclusion of left-wingers on the commission was regarded as a significant victory <head>for</head> Hussein , as the left had originally opposed the charter on the grounds that it might be used to limit political activity .	1(1)
As the property was purchased jointly for the husband and the wife , it would seem unreasonable <head>for</head> the wife 's solicitors to insist on a full abstract of title and investigation thereof .	2(2)-1
Keith seemed consumed by rage ; he stalked <head>about</head> the house , talking to himself and looking at her occasionally with a red , homicidal fury .	3(2)
"Psalm 13 put her own question well --'How long shall l take counsel in my soul , having sorrow <head>in</head> my heart daily ? """	1(1)
I was leaning <head>into</head> the car to get the toddler out of the baby seat when I heard the shot .	3(3)
When blood tests are taken , we use local anesthesia , sprayed <head>on</head> the skin .	5(1d)
ENGINEERING experts are confident they can replace vital bolts <head>in</head> Teesside 's famous Transporter Bridge .	1(1)
"It becomes an example of a phenomenon familiar to R workers : T. H. Huxley 's ` Great tragedy of science -- the slaying <head>of</head> a beautiful hypothesis by an ugly fact . """	12(6a)
If there is not quite an embarrassment <head>of</head> riches , there is enough to make the small investor blush at the choice .	9(5)
The close relationship between the British and American Services , while admirable <head>in</head> most respects , has its dangers .	6(4a)
The larva heaps sand or soil <head>onto</head> its head and jaws and then flicks it with some force up and behind it , working in a circle to produce a conical pit .	1(1)
She opened them again to peep briefly <head>at</head> the signature .	9(5)
"` I 'm better <head>at</head> sums than Alice . """	8(4a)
` If I were the Pentagon or the White House I 'd be upset too if a US Air Force bomber or cargo plane , carrying a load <head>of</head> bombs , suddenly disappeared into the sea .	3(1b)
Departments will have to place a monetary value <head>on</head> any destruction of the environment that may result from government policies , meaning that environmental impact will be assessed at the same time as other benefits and costs .	1(1)
To join the triangles to the shelf cover , place the right sides together and pin the first triangle <head>to</head> the centre of the shelf cover .	13(5)
Chantal prised herself <head>from</head> D'Arcy 's grasp and found herself eagerly reaching for the receiver .	10(7)
The mania persisted <head>into</head> the present century .	1(1)-1
For it was day , and the glimmer <head>in</head> the skulls ' eyes had dimmed .	1(1)
Mordecai had said that he usually approached the shop <head>through</head> the bazaar , and that was the side they had been watching .	5(1d)-1
Against a background of impending famine , heavy fighting took place between government forces and the Tigrean People 's Liberation Front ( TPLF ) <head>during</head> late December and January .	1(1)
There is no room for a chair , so I crouch between the willows and hook a plummet <head>onto</head> the size 18 hook .	3(3)
Meg hurried <head>across</head> the short grass .	1(1)
The muscle power of the knee can be gauged from a bony ridge , called the cnemial crest , marking the point of attachment <head>for</head> knee tendons .	5(4)
Outside in the grounds Tritons and Nereids covered the lake and footmen gambolled <head>on</head> the lawns as satyrs .	1(1)
I saw Mr Callaghan come down the steps of his plane , stop at the foot and greet the throng <head>of</head> journalists waiting on the tarmac to question him about the current discontents .	3(1b)
Heavy fighting <head>with</head> government troops was expected to break out soon .	6(4)
The need to try to understand situations <head>from</head> the child 's point of view is also much better appreciated , as are the difficulties involved in children functioning in disembedded ways .	8(5)
In sharp contrast to most of his contemporaries , Petain seemed unambitious almost to the point of self-extinction ; when offered the post of Commandant <head>to</head> the Rifle School , he refused because it would have meant his promotion over the heads of more senior majors .	9(4)
He wanted to feel warmed through to his spine , to have the comfort steal into him <head>like</head> strong ale .	2(1a)
The ridge survived until a storm <head>in</head> 1910 , when it was breached in the middle , thus causing the harbour to revert to its former double spit state .	3(2)
Until the 1930s , it was common to have a fig pie or pudding on Palm Sunday , based on stewed , dried figs thickened <head>with</head> cornflour and flavoured with mixed spice .	5(3a)
The sudden snap of Joseph 's history book closing caused the senator to glance up briefly but he did n't pause in his monologue ; his abstracted gaze followed the younger boy for only a moment as he sauntered away <head>along</head> the deck .	1(1)
The leaders , men-at-arms and levies of the lords and knights chafed sorely <head>at</head> this delay , none more so than Will Douglas .	11(6)-1
An armed response unit reached the bank within minutes and a police helicopter hovered overhead , but the robber had escaped <head>through</head> the back of the building empty-handed .	5(1d)-1
"` And you were just you ; you moved like you , spoke like you ; smelled <head>like</head> you . """	1(1)
Her third cup of tea she balanced on her stomach , lying full length <head>on</head> the bed and pointing her stockinged toes into the air , sighting various objects over them with one eye closed .	4(1c)
To lessen the risk and cost of developing new versions of Windows for everything from PDAs to combined PC-TVs , Mr Gates is entering into a slew <head>of</head> joint ventures .	3(1b)
But she would not reveal <head>to</head> any of them what the others had prescribed .	8(3)
"` Now , if you 'll excuse me , I 'll join Adam and Ace to find out just exactly how much damage , thanks <head>to</head> you , he 's suffered ! """	8(3)
"` I am longing <head>for</head> tea ! """	6(5)
Arriving at the studio at eight o'clock one morning , Boulting saw Finch staggering <head>about</head> the set drunk .	3(2)
"Mullan had had an altercation <head>with</head> a youth who had called Mosley a ` Black Bastard "" ."	6(4)
Free guided walk <head>to</head> Howtown via Moor Divock organised by Lake District National Park .	1(1)
The four men looked up as he came scrambling <head>down</head> the steep bank .	1(1)
Her owner rushed to bring her a bucket <head>of</head> oats before she should become entangled in the fence once again .	3(1b)-1
Staring at him in confusion , she hauled herself upright in the bed and pushed the pillow <head>behind</head> her .	4(2a)
As the first wash of the day swayed the boat , Steve leapt up and rushed <head>on</head> deck .	5(1d)
Furniture , carpets and musical instruments made an appearance in the triumphal parade of Gnaeus Manlius Vulso ( consul in 189 BC ) , victor <head>over</head> the Gauls in Asia .	6(2b)
This produced an answering smile <head>from</head> her husband .	12(9)-1
Thereafter he was a schoolmaster <head>at</head> Worksop College , but was best known as a fast bowler for Essex and England .	1(1) 4(2b)
Joints open up , and crumbling putty allows water to seep in <head>around</head> the panes , eventually rotting the glazing bars and frame members .	1(1)
Should I just take a peek <head>through</head> the windows of those double doors -- see if I can see him -- Vern 's dad ?	4(1c)
We can imagine animals like these darting through the undergrowth in search of food while the colossal reptiles lumbered obliviously <head>around</head> them .	1(1)
Somerwest is super <head>for</head> swimmers .	2(2)-1
Far better that its messengers take it only to plants of exactly the same kind where the genes it carries will unite <head>with</head> eggs and form seeds .	1(1)
Married to Princess Olga Romanoff , a great niece <head>of</head> the last Czar , he claims to have survived three attempts on his life .	6(3)
The ensuing symptoms are often difficult to distinguish <head>from</head> those of an acute attack of asthma .	14(11)
David took Hayley 's hand in his , and Juliet felt a strange warmth steal <head>through</head> her , and a pang of some emotion she did n't recognise .	3(1b)
Seven people managed to escape <head>before</head> emergency crews arrived .	1(1)
June Barraclough 's A Time to Love ( Methuen , $12.95 ) spans both World Wars and paints a vivid picture of the loves and sorrows <head>of</head> the characters in the lives of two women friends .	11(6)
They had set off on a sunny morning to paddle their canoes a short distance <head>along</head> the Dorset coastline from the St Albans Centre , Lyme Regis .	1(1)
If parents ' distaste for a child 's friend is really caused by social and class differences it would usually be unfair <head>of</head> them to interfere .	13(6b)
Try to park <head>in</head> a well-lit , preferably busy area .	2(1a)
I looked at Taff sitting opposite me in the gloom , his hands wrapped around his hot mug <head>of</head> tea , his shoulders hunched forward .	3(1b)-1
The overall standard of all the entries in the competition drew praise <head>from</head> the judges .	4(3)
If you 're parking <head>at</head> home , use a garage if you have one and lock it .	1(1)
I would n't say it was a particularly woman-centred experience but I did feel confident <head>in</head> the skills of the midwives and the doctors and knew that there were all the necessary facilities should anything go wrong .	6(4a)
A few days later when Tess came back from looking for work , the children came running out and danced <head>round</head> her .	1(1)
His dark eyes directed to beyond the window where the Expo lights sparkled colourfully <head>into</head> the distance .	4(4)
Or would she marry some young idiot like this Sebastian and forget all her aspirations <head>in</head> the possession of two children and a semi ?	5(4)
And there 's nothing better to stimulate the mind and develop creativity than this brightly coloured Wooden Railway <head>from</head> Brio .	4(3)
Sprinkle sharp sand <head>along</head> the slit -- enough to fill in the bottom 4-5 inches ( 10-12cm ) or so .	1(1)
Signe pursed her lips <head>at</head> me .	9(5)
Taking care with her napkin , Sarella folded it <head>into</head> eight equal parts .	6(6)
Packs <head>of</head> tested components are a different matter , and these represent the best way for beginners to obtain a useful stock of components for a modest outlay .	3(1b)-1
In early April the excitement built up as the first shoals <head>of</head> mackerel were expected .	3(1b)
"` Masses of shear water burrows <head>in</head> that direction . """	6(4a)-1
Oh , sure , he quivers on slippery poles as tall as the moon is high , and lopes nude <head>down</head> tunnels while alarm-clocks sound , etc -- but there are no worrying resonances .	3(1b)
First look out for the spoor on prominent areas of the banks , scatter the area <head>with</head> pieces of sliced apple and then sit and wait .	5(3a)
Henniker looked at the filing cabinets , and at a huge pile of folders <head>on</head> Mr. Marshall 's desk .	1(1)
"Squadrons parachute <head>into</head> simulated ` hostile "" territory ."	3(3)
He kicked it open and flung me <head>down</head> the three steps into the street .	1(1)
Gesturing towards the car with the axe in his hand , he demanded the keys <head>from</head> the husband who flatly refused to co-operate .	4(3)
` And when he was recovering <head>from</head> his sickness here in my house , I noticed how similar he looked to the girl 's face in the picture .	10(7)-1
We returned via Nazareth and the Valley <head>of</head> Jexreel and Megiddo .	6(3)
But that could all change with proposals to merge the council <head>with</head> the six smaller district councils within the county .	1(1)
The Batfish swims <head>on</head> its side at night , is this normal ?	4(1c)
He was midway through a wobbly answer <head>about</head> sex , about losing his virginity .	1(1)
"` I 've just sold a comedy <head>of</head> Philip 's about air travel , "" she said ."	7(3a)
So why not keep an eye on the steering, and forgo any announcement <head>to</head> interested passengers that there was now, say, a splendid view of the Atlantic Ocean down below ?	8(3)
Officials are coy <head>about</head> the details .	1(1)
` You barge <head>through</head> life , Julius , knocking people aside as you go .	3(1b)
Soon after , perhaps only a matter of weeks , they are dead , or dwindling rapidly <head>in</head> size as they absorb their own body fats .	6(4a)
At ten o'clock one morning one of my cats leapt <head>on</head> my face .	5(1d)
He noticed that they continually moved <head>in</head> a zigzag fashion .	6(4a)-1
Originally they were red and white , then green and ivory in the original style ; after the 1936 rebuilding they adopted the cream railcoach livery which they carried throughout the War until 1945 , when they adopted the wartime green livery <head>with</head> broad cream flare .	2(2) 3(2a)
INCREDIBLY , COPPOLA 'S sequel actually deepened the richness and meaning of his original masterpiece by widening the time frame , and book-ending the original story with sombre meditations <head>on</head> the implacable nature of crime and retribution .	8(3)
Left foot forwards , knees slightly bent , I rode the board down that precipitous slope like a man tobogganing <head>down</head> a glacier .	1(1)
Sharon's face lights up as she hears his admission <head>of</head> love .	9(5)
One contained a great still lake , and they crossed it <head>along</head> a rock-bridge that sprang dizzily from wall to wall .	1(1)
Barefoot , she padded <head>into</head> her cramped kitchen and took a can of Coke from the refrigerator .	3(3)
Another orange goes bounding away up the corridor ahead of them , under the feet of one of Summerchild 's colleagues who is approaching <head>from</head> the opposite direction , coming back from lunch .	1(1)
Plummer wanted to know , a note of exasperation <head>in</head> his voice .	1(1)
James and Joan had three sons , one of whom became a major in Charles II's army and drowned in the river <head>at</head> Pershore .	1(1)
Amaranth was wearing what appeared to be a blue-black overcoat <head>with</head> square shoulders , the skirts of which came down to the knee .	2(2)
He would have felt no less if he 'd been told that Berowne was dead <head>of</head> a coronary or killed in a car smash .	16(7b)
A hundred years ago , this man had stamped <head>into</head> the Medici Palace in Florence and nearly wrecked the whole Trapezuntine expedition .	3(3)
Before that he did a stint <head>with</head> the Navy , then a senior registrar 's post on shore .	13(8)
"` Right , "" I said , smiling , as they slid the straps of bright blue nylon knapsacks over their shoulders , ` we 'll take a walk <head>into</head> the Berkshire wilderness ."	3(3)
Before Charles left the house in Pangbourne , he took the envelope <head>of</head> photographs out of his inside pocket and looked at them .	3(1b)-1
Seeing her name on none of the placards paraded outside the customs hall , she retreated <head>to</head> the shade of a wall opposite the terminal .	1(1)
Maud crept <head>to</head> the door and opened it very slowly .	1(1)
Hargreave dug out the stub of a cigar from his top pocket and examined it <head>with</head> distaste before jamming it in his mouth .	7(5)
A settler called A.B. Findley tracked five missing horses <head>to</head> the Chesnimnus region , where Wallowa Indians were gathering roots .	1(1)
"` Everyone wants cigarette pants <head>with</head> the little side split , "" says the store 's fashion consultant Vanessa de Lisle ."	2(2)
I was travelling with a mixed assortment <head>of</head> British and Indian mountaineers , en route to an unexplored range in a remote corner of the East Karakoram .	3(1b)
Intruder jets from the aircraft carrier Ranger , and Cobra attack helicopters scoured the area <head>for</head> armed men .	5(4)
Cassowary blinked <head>in</head> astonishment .	5(4)
The razzmatazz of a US election can be an education for anyone not fully versed <head>in</head> politics the American way , but just how does the rather involved system work ?	6(4a)
Bayfield and England captain Will Carling are playing only after making near-miraculous recoveries <head>from</head> injuries against Otago in Dunedin last weekend .	10(7)-1
Among the weaknesses revealed <head>in</head> the report was the lack of planning in the school 's curriculum for children between Primary One and Primary Three -- for which Mrs Cochrane was responsible .	1(1)
She smiled , tears still sparkling <head>in</head> her eyes .	1(1)
"Our surveys <head>on</head> this issue get the best response from staff at all grades "" ."	8(3)
But what right had he to probe <head>into</head> her personal life ?	5(5)
The arrival of each vendor is greeted by the crowd rather as the appearance of a man with a sackful <head>of</head> rice would be greeted in a Kurdish refugee camp in midwinter .	3(1b)-1
On this occasion , saty involved imprisonment of thousands of Indians , much to the embarrassment <head>of</head> the Union Government of South Africa .	11(6)
Only they have had the chance to view the Earth <head>from</head> this unique vantage point -- until now .	8(5)
The two men combed the moors , squelching <head>through</head> the soggy ground until they were satisfied that all the sheep had been rounded up and brought down to the lower pastures to safety .	3(1b)
Such was his prowess <head>with</head> the sword that sometimes the speed of the razor-sharp blade left the nerves and facial muscles of the victim still active for minutes after the head had been severed .	9(7)
The Asian security man unlocked the door to the documentary department office and loped off <head>down</head> the corridor with a distracted smile on his face .	3(1b)
Not only pornography , but also the general denigration <head>of</head> women , has been implicated in the construction of male sexual scripts in which aggression is seen as a positive masculine quality .	12(6a)
To the first he gave five bags of gold , to the second , two bags , and to the third , one bag <head>of</head> gold .	3(1b)-1
He had recognised the driver <head>as</head> the hangman from Tyburn .	1(1)
The Third World became a focus of attention <head>by</head> politicians who were keen to show countries pushing for independence that sustained development was possible under the western wing ( rather than that of the Soviet Union ) .	3(1b)
He that liveth by the sword shall perish <head>by</head> the sword .	5(2)
"This ` rediscovery of poverty "" would seem to be a function of an academic and political interest that had emerged , concerned to look at the adequacy <head>of</head> social policies ."	11(6)
But before he could answer there was a soft slap of footsteps <head>round</head> the colonnade .	8(4)
Here and there in the close-cropped grass grew small blue harebells and masses of fragrant pink thyme , and Robbie was surprised to see one or two sheep nibbling <head>at</head> the herb .	10(5a)
Jessamy prized her privacy far too much , she could n't bear to have a pack <head>of</head> journalists prying into every corner of her life .	3(1b)
They swaggered <head>to</head> a classy , confident victory full of irresistible one-touch football that took the Magpies ever closer to Reading 's 1985 record of 13 wins in a row at the start of a season .	1(1)
I delighted them once <head>with</head> a return invitation to dine at The Pightle .	4(3)
Strip the leaves <head>from</head> the lower half , and remove any flower buds or spines .	10(7)
Peter pushed a prawn <head>around</head> his plate with a fork , pretending not to notice , but he was hurt by her obvious boredom .	4(3)
When the case came to court , the magistrate evidently decided that it was impossible to say which party was to blame in a scuffle <head>of</head> this sort .	9(5)
It hisses <head>like</head> a snake , growls like a carnivore and snaps out at its tormenter .	2(1a)
The massed emigrants <head>to</head> the United States were ( and still are ) in many cases American patriots well before they arrived or could speak English .	1(1)
There followed an urgent summons to direct a rescue excavation of three caves <head>on</head> the slopes of Mount Carmel , with T. D. McCown as assistant .	2(1a)
The revelation <head>of</head> Germany 's economic vulnerability governed Hitler 's thought .	12(6a)
Although not particularly liberal <head>on</head> moral issues , it recognises that a climate of opinion in which people can discuss sexual and emotional matters will be one in which the birth control campaign is more likely to succeed .	8(3)
AVC is a software product designed <head>for</head> their PS/2 range of computers which integrates image and audio capture with media production , authoring and presentation capabilities .	5(4)
The earliest account of the English ( Tacitus 's Germania , AD 97-8 ) remarks <head>on</head> their habit of drowning sacrificial victims in bogs .	8(3)
There seems the possibility of a regular dialogue <head>between</head> umpires and batsmen as the batsmen seek confirmation as to whether they have played a shot , or on the likely height of the next delivery .	4(4)
The sun is really hot and I am in big trouble ( I have an allergy <head>to</head> sunlight ) .	14(6)
She stood <head>by</head> the glittering bottles and looked at him expectantly .	18(5)
"Landry represents Leapor <head>as</head> the thoroughgoing enemy of patriarchy who ` laughs at the fathers "" ."	1(1)
As we descended <head>through</head> the darkness into Cuzco on an endless series of switchbacks , their daughter asked each of us to sing a song for her from our own countries .	3(1b)
The wind came so swiftly that within half an hour we were reducing sail , taking water over the deck , and beginning to lumber <head>into</head> a building seaway .	3(3)
` I reckon that stepmother <head>of</head> yours must 've wore you out skivvying .	6(3)
My eyes prickle <head>with</head> tears , and I have to stop myself from waking her up to remind her of my love .	11(7b)
Who would notice a little fly buzzing <head>around</head> nimbly ?	4(3)
In 1951 , the Prime Minister of Iran , Muhammad Mossadegh , had nationalized the British-owned Anglo-Iranian Oil Company , and in the subsequent crisis the pro-Western Shah <head>of</head> Iran had been forced to flee the country .	6(3)
We went for walks <head>in</head> the enchanting gardens of Bath .	1(1)
A special conference to be held in Tombouctu with the aim of ending the rebellion <head>of</head> Tuaregs in the north of the country [ see p. 38325 ] was postponed from Nov. 15 to Dec. 27 .	6(3)
The categorization <head>of</head> social class used in these studies is the conventional one based on husband 's occupation .	12(6a)
She felt as though flung <head>from</head> health to illness and back by the day , by the hour .	1(1)
Ben danced <head>around</head> them , barking , jumping up .	1(1)
This morning they set up road blocks and questioned hundreds <head>of</head> motorists .	3(1b)
Some of the women resent me <head>for</head> it .	6(5)
